filename,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_number,marks,topic
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,9(a)(iii),1,sets and Venn diagrams
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,9(b)(i),1,probability
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,9(b)(ii),4,probability
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,10(a),3,similarity
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,10(b),8,mensuration
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,11(a),1,functions
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,11(b),2,functions
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,11(c),2,functions
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,11(d),3,functions
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,11(e),2,functions
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,1,1,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,2,1,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,3,1,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,4(a),2,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,4(b),1,vectors
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,5,2,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,6,2,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,7,2,mensuration
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,8,1,exponents and surds
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,9,2,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,10(a),2,similarity
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,10(b),3,similarity
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,11,2,expanding and factorising
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,12(a),3,transformations
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,12(b),2,transformations
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,13,1,exponents and surds
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,14(a),1,exponents and surds
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,14(b),1,exponents and surds
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,15,2,expanding and factorising
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,16,3,solving quadratic equations
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,17,2,topics in arithmetic
0607_m22_qp_22.json,0607,m,Mar/May,2022,2,non_calculator,2,18,3,logarithms
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,1(a),3,straight lines
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,1(b)(i),3,straight lines
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,1(b)(ii),2,straight lines
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(a),1,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(b),2,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(c),3,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(d)(i),3,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(d)(ii),4,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(e),3,topics in arithmetic
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(a)(i),1,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(a)(ii),1,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(a)(iii),1,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(a)(iv),1,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(b),2,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,3(c),4,statistics
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,4(a),3,angles
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,4(b),6,circle theorems
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(a)(i),2,expanding and factorising
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(a)(ii),1,solving quadratic equations
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(a)(iii),2,solving quadratic equations
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(b)(i),2,variation and proportion
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(b)(ii),1,variation and proportion
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,5(b)(iii),3,rearranging formulae
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,6(a),4,solving quadratic equations
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,6(b),2,expanding and factorising
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,6(c),2,mensuration
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,7(a),2,graphing functions
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,7(b),2,graphing functions
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,7(c),1,graphing functions
