,filename,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_number,marks,topic
63,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,9(a)(ii),1,sets and Venn diagrams
64,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,9(a)(iii),1,sets and Venn diagrams
65,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,9(b)(i),1,probability
66,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,9(b)(ii),4,probability
67,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,10(a),3,similarity
68,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,10(b),8,mensuration
69,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,11(a),1,functions
70,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,11(b),2,functions
71,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,11(c),2,functions
72,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,11(d),3,functions
73,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,11(e),2,functions
74,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,1,1,topics in arithmetic
75,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,2,1,topics in arithmetic
76,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,3,1,topics in arithmetic
77,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,4(a),2,vectors
78,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,4(b),1,vectors
79,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,5,2,topics in arithmetic
80,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,6,2,topics in arithmetic
81,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,7,2,mensuration
82,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,8,1,exponents and surds
83,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,9,2,topics in arithmetic
84,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,10(a),2,similarity
85,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,10(b),3,similarity
86,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,11,2,expanding and factorising
87,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,12(a),3,transformations
88,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,12(b),2,transformations
89,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,13,1,exponents and surds
90,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,14(a),1,exponents and surds
91,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,14(b),1,exponents and surds
92,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,15,2,expanding and factorising
93,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,16,3,solving quadratic equations
94,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,17,2,expanding and factorising
95,0607_m22_qp_22.json,607,m,Mar/May,2022,2,non_calculator,2,18,3,logarithms
96,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,1(a),3,straight lines
97,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,1(b)(i),3,straight lines
98,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,1(b)(ii),2,straight lines
99,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(a),1,topics in arithmetic
100,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(b),2,topics in arithmetic
101,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(c),3,topics in arithmetic
102,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(d)(i),3,topics in arithmetic
103,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(d)(ii),4,topics in arithmetic
104,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(e),3,topics in arithmetic
105,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,3(a)(i),1,statistics
106,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,3(a)(ii),1,statistics
